file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,197,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,11
style.css,198,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,30
style.css,199,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,18
style.css,200,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,14
style.css,201,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,0
style.css,202,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,11
style.css,203,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,13
style.css,204,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,19
style.css,205,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,8
style.css,206,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,0
style.css,207,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,0
style.css,208,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,18
style.css,209,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,17
style.css,210,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,12
style.css,211,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,0
style.css,212,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,0
style.css,213,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,5
style.css,214,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,17
style.css,215,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,0
style.css,216,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,10
style.css,217,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,24
style.css,218,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,0
style.css,219,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,11
style.css,220,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,18
style.css,221,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,0
style.css,222,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,0
style.css,223,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,5
style.css,224,css,319cbe57,lseseri,2025-02-06,19:34:50,-08:00,2025-02-06T19:34:50-08:00,0,15
style.css,225,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,0
style.css,226,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,0
style.css,227,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,7
style.css,228,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,13
style.css,229,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,37
style.css,230,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,16
style.css,231,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,10
style.css,232,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,0
style.css,233,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,10
style.css,234,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,15
style.css,235,css,43c6bbe6,lseseri,2025-02-12,22:08:05,-08:00,2025-02-12T22:08:05-08:00,0,17
